ts,vault_id,count,mean_s194,stddev_s194
2023-04-01,1003,1705,19.26158332824707,2.285916805267334
2023-04-01,1002,1682,23.609394073486328,2.61368989944458
2023-04-01,1015,1658,25.567550659179688,4.239294052124023
2023-04-01,1012,1681,30.175491333007812,7.894426345825195
2023-04-01,1004,1654,20.568923950195312,2.687204122543335
2023-04-01,1014,1642,25.78136444091797,5.977144241333008
2023-04-01,1019,1687,27.36396026611328,5.407547473907471
2023-04-01,1008,1701,29.023515701293945,4.329129695892334
2023-04-01,1013,1628,26.092138290405273,4.754809856414795
2023-04-01,1001,1633,19.199020385742188,1.9781906604766846
2023-04-01,1009,1611,27.785846710205078,3.4516360759735107
2023-04-01,1016,1633,26.375995635986328,5.079716205596924
2023-04-01,1010,1611,23.074487686157227,2.88116192817688
2023-04-01,1011,1630,26.571165084838867,6.2496747970581055
2023-04-01,1005,1673,21.945606231689453,2.6641058921813965
2023-04-01,1006,1706,23.0,3.365224599838257
2023-04-01,1000,1656,23.010265350341797,2.406315326690674
2023-04-01,1007,1655,25.58368492126465,4.174600124359131
2023-04-01,1020,1652,26.767555236816406,5.526337146759033
2023-04-01,1017,1629,27.88520622253418,5.464070796966553
2023-04-01,1018,1679,26.98630142211914,4.128857135772705
2023-04-04,1004,1684,19.78681755065918,2.7829720973968506
2023-04-04,1012,1676,30.516706466674805,6.609574317932129
2023-04-04,1017,1633,28.461727142333984,5.490394592285156
2023-04-04,1014,1618,26.25772476196289,5.9447150230407715
2023-04-04,1015,1625,26.42461585998535,4.284283638000488
2023-04-04,1013,1644,26.74209213256836,4.695512771606445
2023-04-04,1016,1624,27.293718338012695,5.362528324127197
2023-04-04,1005,1625,21.444923400878906,2.870467185974121
2023-04-04,1003,1647,18.427444458007812,2.3084912300109863
2023-04-04,1010,1654,22.107013702392578,2.7786171436309814
2023-04-04,1008,1661,30.429861068725586,4.061617374420166
2023-04-04,1001,1596,18.37030029296875,1.8216451406478882
2023-04-04,1011,1655,26.224773406982422,6.4755353927612305
2023-04-04,1018,1641,28.258989334106445,4.354698181152344
2023-04-04,1002,1700,22.573530197143555,2.5605385303497314
2023-04-04,1006,1662,22.994585037231445,4.000673294067383
2023-04-04,1019,1658,28.228588104248047,5.568109035491943
2023-04-04,1020,1656,26.288646697998047,5.337409496307373
2023-04-04,1007,1674,26.679210662841797,4.906335353851318
2023-04-04,1000,1656,22.219202041625977,2.3847124576568604
2023-04-04,1009,1651,27.493640899658203,3.2258687019348145
2023-04-07,1001,1650,18.15696907043457,1.8241386413574219
2023-04-07,1020,1596,26.159147262573242,5.613467216491699
2023-04-07,1018,1597,28.027551651000977,4.134918212890625
2023-04-07,1005,1683,21.068923950195312,2.628741502761841
2023-04-07,1009,1653,27.338777542114258,3.1030187606811523
2023-04-07,1006,1638,22.86019515991211,3.7240748405456543
2023-04-07,1007,1643,25.725502014160156,4.56289005279541
2023-04-07,1002,1675,22.60835838317871,2.524043560028076
2023-04-07,1008,1632,29.66973114013672,3.9445438385009766
2023-04-07,1015,1659,26.401447296142578,4.015839576721191
2023-04-07,1012,1707,30.534271240234375,6.35167121887207
2023-04-07,1000,1661,22.016254425048828,2.4029083251953125
2023-04-07,1016,1656,27.200483322143555,5.20564079284668
2023-04-07,1010,1638,21.918193817138672,2.74485182762146
2023-04-07,1017,1638,28.451160430908203,5.648083686828613
2023-04-07,1014,1672,26.478469848632812,5.939347743988037
2023-04-07,1004,1643,19.61351203918457,2.7351746559143066
2023-04-07,1003,1688,18.239336013793945,2.2510275840759277
2023-04-07,1013,1645,26.864437103271484,4.504423141479492
2023-04-07,1011,1636,26.333740234375,6.910260200500488
2023-04-07,1019,1662,27.84837532043457,5.2661871910095215
2023-04-10,1002,1687,22.526378631591797,2.6141488552093506
2023-04-10,1012,1690,30.444377899169922,6.299773216247559
2023-04-10,1004,1677,19.772212982177734,2.7522404193878174
2023-04-10,1011,1648,26.29854393005371,6.712956428527832
2023-04-10,1016,1675,27.418506622314453,5.362869739532471
2023-04-10,1013,1622,26.954378128051758,4.709869861602783
2023-04-10,1019,1632,27.827817916870117,5.175511360168457
2023-04-10,1007,1649,25.761672973632812,4.5168867111206055
