ts,vault_id,count,min,25perc,50perc,75perc,max
2023-04-01,1113,746,16.0,38485.89322310008,38492.176560463835,38508.459097671664,68037.0
2023-04-01,1095,739,1839.0,16596.9546688407,18750.571690113917,22530.371116087794,45463.0
2023-04-01,1093,756,63.0,48534.82693838641,48548.956140971095,48554.51671811085,67739.0
2023-04-01,1098,740,4068.0,17874.90705770551,21229.343534059204,23050.704491741228,47577.0
2023-04-01,1117,737,819.0,17985.634094770692,20403.092251926144,22356.663561775633,37681.0
2023-04-01,1110,727,110.0,17172.18595401979,18819.375757706795,22650.912789066548,69807.0
2023-04-01,1115,719,1363.0,14901.957445795691,17049.606730747266,21385.77046647224,38066.0
2023-04-01,1091,734,47.0,49192.72301074972,49195.64371083981,49199.90884261689,69811.0
2023-04-01,1102,706,2820.0,17830.524495557547,20997.401154482963,23604.52195113485,65965.0
2023-04-01,1116,728,5446.0,15867.633018187922,17565.39384211951,20762.329704341675,85236.0
2023-04-01,1097,732,125.0,18277.86676823509,21142.173563176195,23005.194677198284,77852.0
2023-04-01,1099,752,491.0,15360.051783541356,19225.330126112847,22725.38196429226,76052.0
2023-04-01,1096,740,377.0,47098.33499234424,47101.002383748855,47107.34137705293,69821.0
2023-04-01,1105,734,142.0,17466.83433412342,19180.059083018787,21796.074931997984,43300.0
2023-04-01,1109,735,143.0,17473.767337361758,19476.057595448303,22102.105805381805,84564.0
2023-04-01,1106,711,3191.0,16441.884323066846,18323.868590771668,21092.11521308166,73780.0
2023-04-01,1118,717,285.0,37551.049634614516,37553.73613506786,37558.56125249364,37573.0
2023-04-01,1101,758,403.0,15677.54821963546,19148.26263667575,22923.37564222435,45797.0
2023-04-01,1108,746,96.0,16918.400613578597,20228.11243875849,22894.96859470404,41621.0
2023-04-01,1100,719,775.0,18583.314552809596,20549.904862165804,23738.9539213988,69163.0
2023-04-01,1092,731,79.0,48906.102314059164,48909.1604817091,48916.946544455495,60049.0
2023-04-01,1090,745,47.0,49480.930619742445,49495.07345383261,49503.24637411218,76037.0
2023-04-01,1104,715,143.0,14833.810861650594,17067.614447110507,21365.362705771073,45089.0
2023-04-01,1114,717,1707.0,17515.73644235757,18626.973069932705,21612.33842518731,38839.0
2023-04-01,1111,733,158.0,39425.54192173114,39438.30128929596,39453.28582469175,39465.0
2023-04-01,1094,720,5448.0,16694.208173748524,18050.50818591568,21740.72974501591,44672.0
2023-04-01,1107,727,606.0,16438.737166403283,18112.48241992074,22429.673902912393,42943.0
2023-04-01,1103,749,235.0,14644.247772909479,18103.078678547237,21353.966624876495,70558.0
2023-04-01,1119,764,1262.0,17411.39498714807,19037.366236262842,22539.479223598006,36932.0
2023-04-01,1120,710,142.0,36031.61058219461,36043.243156695324,36048.85047817015,42579.0
2023-04-01,1112,740,190.0,17191.65688232779,18642.198962841776,22468.865391581065,51055.0
2023-04-04,1112,724,519.0,17092.36195581954,18698.494523361976,22234.37365434674,39226.0
2023-04-04,1094,741,5511.0,16771.41988017751,17992.362242286512,21649.986539143876,44740.0
2023-04-04,1093,751,0.0,48610.540062073705,48620.86828480443,48626.37461543593,67817.0
2023-04-04,1115,733,713.0,15075.156855015426,17143.178030984007,21024.22996448946,38155.0
2023-04-04,1099,742,851.0,15199.852192034641,18237.76784508801,22743.344516878406,69212.0
2023-04-04,1092,753,112.0,48972.92191476642,48981.54792711575,48987.009366847815,60128.0
2023-04-04,1106,755,32.0,16481.089934950975,18444.56263715769,21243.319539081873,76893.0
2023-04-04,1120,740,218.0,36103.2415470223,36115.658422651984,36121.38144355511,42658.0
2023-04-04,1090,763,252.0,49530.84124514991,49562.931535410025,49578.745436530924,76688.0
2023-04-04,1108,713,776.0,17097.083547819417,20144.442264837377,22997.078949593935,41693.0
2023-04-04,1113,748,0.0,38558.45437296273,38568.22327089095,38580.14754151298,68505.0
2023-04-04,1102,699,2899.0,17920.064337758664,21428.657641161033,23641.055712687277,66044.0
2023-04-04,1110,711,174.0,17236.761556280013,18589.813315058986,22467.210203606064,69870.0
2023-04-04,1111,730,221.0,39503.81440521229,39513.85314921088,39524.62724802765,39536.0
2023-04-04,1100,742,839.0,18576.983572205412,20493.19495910616,23785.309676795125,69227.0
2023-04-04,1095,732,519.0,16608.024136689033,18412.795564956938,22440.798456362998,45553.0
