ts,vault_id,count,mean_s194,stddev_s194
2023-04-01,1003,11635,18.49884033203125,2.3248205184936523
2023-04-01,1018,11628,27.840988159179688,4.211870193481445
2023-04-01,1019,11576,27.910072326660156,5.3749799728393555
2023-04-01,1017,11440,28.281469345092773,5.496102333068848
2023-04-01,1014,12663,26.363815307617188,5.933446407318115
2023-04-01,1012,11693,30.556743621826172,6.635683536529541
2023-04-01,1008,11674,29.427274703979492,4.087705135345459
2023-04-01,1020,12598,26.123193740844727,5.439377307891846
2023-04-01,1015,11624,26.187284469604492,4.10102653503418
2023-04-01,1006,11684,22.932641983032227,3.7890496253967285
2023-04-01,1000,11563,22.210065841674805,2.434629201889038
2023-04-01,1009,11417,27.187965393066406,3.0663251876831055
2023-04-01,1001,11454,18.375938415527344,1.8701801300048828
2023-04-01,1002,12816,22.708412170410156,2.611964225769043
2023-04-01,1007,12656,25.880294799804688,4.609443664550781
2023-04-01,1016,12754,27.2319278717041,5.331594944000244
2023-04-01,1013,11478,26.923505783081055,5.083677291870117
2023-04-01,1011,11543,26.163475036621094,6.572452545166016
2023-04-01,1004,11648,19.874313354492188,2.7687299251556396
2023-04-01,1010,12709,22.151153564453125,2.8230338096618652
2023-04-01,1005,11613,21.358219146728516,2.7990448474884033
