ts,vault_id,count,mean_s194,stddev_s194
2023-04-01,1003,560,18.360713958740234,2.3026132583618164
2023-04-01,1002,557,22.63734245300293,2.5283823013305664
2023-04-01,1015,538,26.165428161621094,4.076470851898193
2023-04-01,1012,567,30.754850387573242,7.645003318786621
2023-04-01,1004,545,19.7027530670166,2.6791226863861084
2023-04-01,1014,548,26.083942413330078,5.493217468261719
2023-04-01,1019,565,27.762832641601562,5.088981628417969
2023-04-01,1008,577,29.58925437927246,4.140021800994873
2023-04-01,1013,540,26.687036514282227,4.433063983917236
2023-04-01,1001,548,18.2481746673584,1.8680213689804077
2023-04-01,1009,533,27.748592376708984,3.381971597671509
2023-04-01,1016,537,26.389198303222656,4.630410671234131
2023-04-01,1010,521,22.051822662353516,2.7886528968811035
2023-04-01,1011,526,26.256654739379883,6.614356994628906
2023-04-01,1005,547,21.259597778320312,2.7388253211975098
2023-04-01,1006,556,22.791366577148438,3.9337587356567383
2023-04-01,1000,564,22.145389556884766,2.3745391368865967
2023-04-01,1007,554,25.743682861328125,4.62562370300293
2023-04-01,1020,573,26.516578674316406,5.858287334442139
2023-04-01,1017,556,28.19784164428711,5.378855228424072
2023-04-01,1018,544,27.325366973876953,3.819794178009033
2023-04-02,1005,564,22.156028747558594,2.62431001663208
2023-04-02,1010,549,23.429872512817383,2.866981267929077
2023-04-02,1015,558,25.351255416870117,4.33233118057251
2023-04-02,1004,546,20.901098251342773,2.525568723678589
2023-04-02,1003,573,19.586387634277344,2.218820810317993
2023-04-02,1001,555,19.48828887939453,1.9565892219543457
2023-04-02,1019,567,26.966489791870117,5.481146812438965
2023-04-02,1000,552,23.355072021484375,2.304849147796631
2023-04-02,1006,593,23.075885772705078,3.0331461429595947
2023-04-02,1018,584,26.74657440185547,4.127773761749268
2023-04-02,1012,550,29.969091415405273,8.297477722167969
2023-04-02,1007,546,25.536630630493164,3.993989944458008
2023-04-02,1016,532,26.518796920776367,5.127108573913574
2023-04-02,1017,533,27.534709930419922,5.384399890899658
2023-04-02,1011,582,26.64776611328125,6.258848190307617
2023-04-02,1013,549,25.93260383605957,4.87932825088501
2023-04-02,1002,556,23.946043014526367,2.5340776443481445
2023-04-02,1008,564,28.863475799560547,4.228090763092041
2023-04-02,1014,548,25.63868522644043,6.192540168762207
2023-04-02,1020,534,26.602996826171875,5.331665515899658
2023-04-02,1009,545,27.69541358947754,3.3327505588531494
2023-04-03,1005,564,22.395389556884766,2.490701913833618
2023-04-03,1011,522,26.802682876586914,5.8346757888793945
2023-04-03,1016,565,26.242477416992188,5.4327392578125
2023-04-03,1020,545,27.19266128540039,5.3258538246154785
2023-04-03,1012,565,29.79292106628418,7.695852279663086
2023-04-03,1001,530,19.87924575805664,1.7190781831741333
2023-04-03,1010,542,23.697416305541992,2.7113184928894043
2023-04-03,1006,557,23.12746810913086,3.0624704360961914
2023-04-03,1014,546,25.620878219604492,6.207127094268799
2023-04-03,1008,560,28.60178565979004,4.552903175354004
